product,signal,strategy,window,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
USD,SMH,PB_RSI10_R15_H30,3Y,0.4111465557660732,0.9412620756240231,-0.5375618742497068,0.7648357806995227,0.45611702127659576,11.0,27947.450760979045
USD,SMH,PB_RSI10_R15_H30,5Y,0.2577311565764593,0.7602145659307943,-0.5375618742497069,0.47944463497561707,0.37609561752988047,15.0,31330.19863007077
USD,SMH,PB_RSI10_R15_H30,10Y,0.19839820352593995,0.6791108294699009,-0.5375618742497069,0.36907045129056254,0.33744528452049344,28.0,60789.437946037106
USD,SMH,PB_RSI10_R15_H30_TS8,MAX,0.10439340744446501,0.5000816649351748,-0.6721450350524523,0.155313811752427,0.3052889524198489,70.0,68866.0322585666
USD,SMH,PB_RSI10_R15_H30_TS8,3Y,0.548405397227983,1.2515735497560458,-0.32791862230047997,1.6723825971843267,0.4109042553191489,15.5,36867.185733442166
USD,SMH,PB_RSI10_R15_H30_TS8,5Y,0.30313771066799666,0.9236315821621097,-0.38689967360600674,0.7835046947511571,0.34103585657370517,20.5,37382.64356516054
USD,SMH,PB_RSI10_R15_H30_TS8,10Y,0.26672726428072546,0.9097281492109598,-0.3988340356755238,0.6687675584882244,0.3131715081575806,36.5,105676.60988076722
USD,SMH,PB_RSI10_R15_H30_TS12,MAX,0.08001927057309155,0.41149001108290184,-0.6204980716096783,0.12895974094731327,0.32387175821931796,61.0,44633.30427522606
USD,SMH,PB_RSI10_R15_H30_TS12,3Y,0.41489128834929456,1.0094245646060263,-0.3850263177080596,1.077566050079412,0.43617021276595747,13.5,28169.34754681035
USD,SMH,PB_RSI10_R15_H30_TS12,5Y,0.2589237049969326,0.8031331252362495,-0.40941317652569853,0.632426408925508,0.3633466135458167,18.5,31478.42109203673
USD,SMH,PB_RSI10_R15_H30_TS12,10Y,0.19482252672729938,0.7015504946752488,-0.5096488002777733,0.38226819453144106,0.3286908077994429,33.5,59004.71317701671
USD,SMH,PB_RSI10_R15_H30_TS16,MAX,0.0833215037901518,0.4169438341229446,-0.572562727414349,0.14552379992743425,0.32897692464774353,56.0,47361.326064683984
USD,SMH,PB_RSI10_R15_H30_TS16,3Y,0.4091088263690088,0.9716460190220891,-0.4578979639260815,0.8934497608621192,0.44680851063829785,12.5,27827.193423331933
USD,SMH,PB_RSI10_R15_H30_TS16,5Y,0.25664257227342047,0.7801562414405844,-0.4578979639260814,0.5604798284598844,0.3705179282868526,16.5,31195.385394064724
USD,SMH,PB_RSI10_R15_H30_TS16,10Y,0.19896626202733825,0.6930082210574174,-0.48781875991307844,0.4078692300861715,0.3342618384401114,30.5,61077.400284270734
