product,signal,strategy,start,end,years,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
SOXL,SMH,PB_RSI5_R10_H30_TS12,2016-09-11,2021-09-11,5,0.6222403171851969,1.6393252231405313,-0.22555186890360124,2.7587460046768073,0.24861000794281177,9.5,112135.25182249791
SOXL,SMH,PB_RSI5_R10_H30_TS12,2016-12-11,2021-12-11,5,0.46921710292822794,1.4157388138700362,-0.23349758537605436,2.0095158678944824,0.2200158856235107,8.5,68354.45684831003
SOXL,SMH,PB_RSI5_R10_H30_TS12,2017-03-11,2022-03-11,5,0.43859788705483704,1.355292346120598,-0.23349758537605458,1.878382966352575,0.21428571428571427,8.0,61616.509222408684
SOXL,SMH,PB_RSI5_R10_H30_TS12,2017-06-11,2022-06-11,5,0.35520906431662125,1.1860748147847817,-0.23349758537605425,1.5212536940994372,0.19047619047619047,7.0,45712.13323689955
SOXL,SMH,PB_RSI5_R10_H30_TS12,2017-09-11,2022-09-11,5,0.3555362869486336,1.1865483903308223,-0.23349758537605425,1.5226550903129583,0.19062748212867356,7.0,45712.13323689955
SOXL,SMH,PB_RSI5_R10_H30_TS12,2017-12-11,2022-12-11,5,0.3555362869486336,1.1865483903308223,-0.23349758537605425,1.5226550903129583,0.19062748212867356,7.0,45712.13323689955
SOXL,SMH,PB_RSI5_R10_H30_TS12,2018-03-11,2023-03-11,5,0.3555362869486336,1.1865483903308223,-0.23349758537605425,1.5226550903129583,0.19062748212867356,7.0,45712.13323689955
SOXL,SMH,PB_RSI5_R10_H30_TS12,2018-06-11,2023-06-11,5,0.48977925700034697,1.3480349474347653,-0.2850916446852928,1.7179712774150393,0.2136616362192216,7.5,73269.3980476867
SOXL,SMH,PB_RSI5_R10_H30_TS12,2018-09-11,2023-09-11,5,0.5138929083340533,1.396719125728753,-0.2850916446852928,1.8025533820934312,0.20508744038155802,7.5,79258.6090257321
SOXL,SMH,PB_RSI5_R10_H30_TS12,2018-12-11,2023-12-11,5,0.532700622453236,1.4474919263277755,-0.2850916446852927,1.8685241478797958,0.19062748212867356,7.0,84440.4865518653
SOXL,SMH,PB_RSI5_R10_H30_TS12,2019-03-11,2024-03-11,5,0.6544627052279917,1.56546260018726,-0.2850916446852927,2.2956221882631485,0.21428571428571427,8.0,123960.95370531801
SOXL,SMH,PB_RSI5_R10_H30_TS12,2019-06-11,2024-06-11,5,0.6132201454320227,1.4808635064542308,-0.28509164468529313,2.1509579704061266,0.21428571428571427,8.0,109261.7579061941
SOXL,SMH,PB_RSI5_R10_H30_TS12,2019-09-11,2024-09-11,5,0.6138330449395382,1.4814566206462183,-0.28509164468529313,2.153107803692865,0.21445591739475775,8.0,109261.7579061941
SOXL,SMH,PB_RSI5_R10_H30_TS12,2019-12-11,2024-12-11,5,0.5631993196634444,1.3873882476505532,-0.2850916446852929,1.9755027204853692,0.20651310563939634,7.5,93175.53359979618
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-03-11,2025-03-11,5,0.48650848686665205,1.2657542952334053,-0.285091644685293,1.7064985801449883,0.1909307875894988,7.0,72241.59955072319
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-06-11,2025-06-11,5,0.5463089986670884,1.3481873580589188,-0.285091644685293,1.916257487202573,0.19968178202068418,7.5,87948.38908244109
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-09-11,2025-09-11,5,0.622025256605339,1.4535687755299562,-0.285091644685293,2.1818431658773454,0.21496815286624205,8.0,111417.60375069831
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-12-11,2025-12-11,5,0.4958971254340916,1.2931120927754909,-0.2850916446852929,1.7394305819853217,0.1942675159235669,7.5,74427.32670901071
SOXL,SMH,PB_RSI5_R10_H30_TS12,2021-03-11,2026-03-11,5,0.47000733951863394,1.2112151658551769,-0.2850916446852929,1.648618429478934,0.1910828025477707,7.0,68224.70248403926
SOXL,SMH,PB_RSI5_R10_H30_TS12,2021-06-11,2026-06-11,5,0.9027968720169042,1.7088354037302496,-0.2850916446852929,3.1666900410690184,0.21496815286624205,8.0,246903.55530432196
SOXL,SMH,PB_RSI5_R15_H40,2010-03-11,2013-03-11,3,0.012077722243357236,0.20128497171032414,-0.4208095926298555,0.02870115713826137,0.26490066225165565,5.0,10366.23156379964
SOXL,SMH,PB_RSI5_R15_H40,2010-06-11,2013-06-11,3,0.012077722243357236,0.20128497171032414,-0.4208095926298555,0.02870115713826137,0.26490066225165565,5.0,10366.23156379964
SOXL,SMH,PB_RSI5_R15_H40,2010-09-11,2013-09-11,3,0.06992813235047546,0.3827661038030282,-0.3567788912964601,0.19599851352295872,0.26490066225165565,5.0,12244.67701791766
SOXL,SMH,PB_RSI5_R15_H40,2010-12-11,2013-12-11,3,-0.028234008526789367,0.028225650027413857,-0.3567788912964601,-0.07913587158756188,0.24503311258278146,4.5,9177.712455562501
SOXL,SMH,PB_RSI5_R15_H40,2011-03-11,2014-03-11,3,-0.08375721803082592,-0.20967095111936743,-0.35677889129646,-0.23475945487265146,0.21220159151193635,4.0,7697.207644357123
SOXL,SMH,PB_RSI5_R15_H40,2011-06-11,2014-06-11,3,-0.03240553712867145,-0.045145479178518716,-0.29903310284099316,-0.10836772524780527,0.15915119363395225,3.0,9061.365904722208
SOXL,SMH,PB_RSI5_R15_H40,2011-09-11,2014-09-11,3,-0.032363318045535494,-0.045115571362091905,-0.29903310284099316,-0.10822653993174881,0.15894039735099338,3.0,9061.365904722208
SOXL,SMH,PB_RSI5_R15_H40,2011-12-11,2014-12-11,3,-0.06043028640579429,-0.06303357822070182,-0.5368917822906197,-0.11255580435217641,0.2119205298013245,4.0,8296.491106474592
SOXL,SMH,PB_RSI5_R15_H40,2012-03-11,2015-03-11,3,-0.048486535767432115,0.008031399379058873,-0.5368917822906197,-0.09030969995585876,0.26525198938992045,4.5,8618.191185986876
SOXL,SMH,PB_RSI5_R15_H40,2012-06-11,2015-06-11,3,0.028226697396608547,0.242607610176191,-0.5368917822906196,0.05257427721501133,0.2119205298013245,4.0,10869.727485050309
