product,signal,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,trades,score
SOXL,SOXX,PB_RSI3_R5_H40_TS8,0.5996639463088258,0.2179781834446506,1.2388247968037294,0.7038233461601857,1.242927654432318,-0.6454617256603212,0.24139661590961972,94.5,2.766697379498419
SOXL,SOXX,PB_RSI5_R5_H50,0.7255478623979791,0.3276311354258623,1.2373761103214598,0.8015737848894491,1.414201429023825,-0.775205478583203,0.40238424549520435,70.5,2.765786553280578
SOXL,SMH,PB_RSI10_R5_H60_TS16,0.9208471555162818,0.43595325529561424,1.2353832095952546,0.8803828180522268,1.3221102145902586,-0.8324783137780445,0.674150940020762,116.5,2.7455657563463776
SOXL,SOXX,PB_RSI5_R20_H20_TS12,0.3591037069972983,0.16813075594875615,1.231527470389214,0.7584446335263316,1.2396521556568336,-0.5454452993512205,0.1064114164576924,48.5,2.7448561624020087
SOXL,SOXX,PB_RSI5_R20_H20_TS16,0.3591037069972983,0.16678494967282398,1.231527470389214,0.7536216842101724,1.2396521556568336,-0.5539217820999438,0.10653292314055997,48.5,2.7429775219350025
SOXL,SMH,PB_RSI7_R20_H40_TS8,0.6157812590376881,0.17016050385219827,1.2733006209149091,0.5980164357249249,1.4842884535969667,-0.8419546394830284,0.27461293618264004,99.5,2.7421734353692067
SOXL,SOXX,PB_RSI5_R20_H20,0.3591037069972983,0.16307506819161155,1.231527470389214,0.7399097666798818,1.2396521556568336,-0.576526415841194,0.10665442982342752,48.5,2.737694601811824
SOXL,SMH,HYB_F63_L7_B65,0.8517445798680079,0.4262286921042713,1.2341115888161587,0.9018316122771219,1.3148887076613365,-0.6611893312538535,0.6583352569070966,167.9,2.737572545598911
SOXL,SOXX,PB_RSI7_R5_H60_TS16,0.9278485792068555,0.3571075938166093,1.2988302084170082,0.8087005663034326,1.2988458359257782,-0.8378861445793919,0.5848195458947616,103.5,2.728404982826949
SOXL,SOXX,PB_RSI5_R10_H30,0.5387403107887989,0.25608478868981455,1.246944208815493,0.7841587863114415,1.4054392862715521,-0.7049419744313566,0.1959134493344209,53.0,2.726465586009813
SOXL,SMH,PB_RSI5_R5_H40_TS16,0.8756417658270028,0.3290530314158939,1.34040278403704,0.81219307775935,1.2648562947322397,-0.7318990498285962,0.4264454319609743,110.0,2.722833863917064
SOXL,SMH,PB_RSI7_R5_H30_TS16,0.8407989963722708,0.3132498112767055,1.3406141950819652,0.7920507189776701,1.2649929675463345,-0.710936903982285,0.43281422657955526,139.5,2.71024474801107
SOXL,SOXX,PB_RSI5_R20_H20_TS8,0.34947285017892693,0.17013370942723682,1.20914942886278,0.7723152599859375,1.2189183346248145,-0.48304132296193625,0.10592538972622217,55.5,2.7062134331976972
SOXL,SMH,PB_RSI5_R15_H60,0.575190714106602,0.2277197678574543,1.0933755057694612,0.6732568312048397,1.3266187118406503,-0.6469004501471199,0.31140354482329796,44.5,2.7021683093400486
SOXL,SMH,TREND_63_250_VT35,0.8201332011541846,0.4870518473793739,1.15454607927727,0.9242757110332607,1.3035069174151113,-0.7189719640458894,0.804525216319329,213.77594027094358,2.6826478481403835
SOXL,SOXX,HYB_F63_L7_B35,0.6891796394146372,0.3370875642884368,1.2203856616585305,0.838543830896423,1.3327291591677812,-0.7326718758023344,0.4682488253276802,139.92499999999998,2.681294560694636
SOXL,SMH,TREND_40_250_VT25,0.7521805163255187,0.39033151923595844,1.1694662770618978,0.8462183364381152,1.3476827609038136,-0.7933105023878699,0.7440020441820254,235.55567325651288,2.6738693816932195
SOXL,SOXX,PB_RSI5_R10_H30_TS16,0.5109804658851734,0.2297798942126359,1.2323178067716167,0.7589130782239661,1.3830849907821225,-0.6621986808390474,0.1916258058339647,62.0,2.6700210142160485
SOXL,SOXX,PB_RSI5_R5_H50_TS16,0.685374799516669,0.3010774246381458,1.2064804818113934,0.7759698938110223,1.3639522684831178,-0.7714984886440592,0.40007561852072077,80.5,2.6649639360663397
SOXL,SMH,PB_RSI3_R5_H40,0.5757452258627005,0.21395300503508352,1.256529851063158,0.6779241579672888,1.3806120222161158,-0.7499386728966166,0.24884452608283825,53.0,2.6635994152886373
SOXL,SOXX,PB_RSI5_R5_H30,0.6347665360786661,0.33488333875465637,1.2656352025788364,0.8685216938516637,1.2597109842233118,-0.7247081174488598,0.28543567901553735,84.0,2.6599182796423926
SOXL,SMH,PB_RSI3_R10_H50_TS12,0.4614666224753675,0.22549817793772586,1.1815537895111419,0.806308184474931,1.1505707399935488,-0.4787416006035642,0.19649773369712553,41.0,2.6464506645922863
SOXL,SMH,PB_RSI5_R20_H30,0.39536018820645225,0.15604648679787103,1.2052122516727959,0.6273743962005063,1.4488641976735206,-0.7402013957321858,0.13922761216144136,43.0,2.638943291795379
SOXL,SMH,PB_RSI5_R20_H30_TS16,0.39536018820645225,0.15604648679787103,1.2052122516727959,0.6273743962005063,1.4488641976735206,-0.7402013957321858,0.13922761216144136,43.0,2.638943291795379
SOXL,SMH,PB_RSI5_R20_H30_TS8,0.3969368897356773,0.1391189628617211,1.2087952072779382,0.5933330465133221,1.4598978553872075,-0.7897065975968546,0.13614662237274114,47.0,2.6365858057243368
SOXL,SOXX,MHT_6_3,0.6150486734036512,0.3368569426760548,1.051329792779967,0.8040890994983162,1.2092761166245316,-0.5641194482524716,0.5365188981670588,119.0,2.6300566556171048
SOXL,SMH,PB_RSI7_R5_H60,0.900682879755791,0.3023096888235106,1.2481446675414687,0.734431798563232,1.2947320546979468,-0.8803188583922164,0.5968214373955311,85.0,2.627639516291979
SOXL,SMH,PB_RSI7_R15_H40_TS12,0.7321705059669681,0.16863274905415815,1.3077066995076836,0.577042473482498,1.3328100149246818,-0.7952031531488178,0.3093849769775539,87.0,2.619093707330069
SOXL,SOXX,PB_RSI5_R10_H20_TS12,0.454241008482688,0.1300727091937104,1.261596133956997,0.5539209203191643,1.403436270862782,-0.6565297740726994,0.1396750785436625,65.5,2.6185489894964253
SOXL,SMH,PB_RSI5_R20_H30_TS12,0.39536018820645225,0.13646538929582297,1.2052122516727959,0.575894599893332,1.4488641976735206,-0.8034432883465649,0.1391842894444301,45.0,2.616282793967561
